SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION,RUN
JGNRewards.sol,,914,sFuzz,true,false,0.7666666666666667,3,8,0.375,23,40,0.575,13,14,0.9285714285714286,4,6,0.6666666666666666,12.561000108718872,1788.164999961853,1800.726000070572,165,1820,1,77
HungryHoody.sol,,386,sFuzz,true,false,0.76,0,0,0,18,25,0.72,10,10,1,3,8,0.375,13.881999969482422,1786.9850001335144,1800.8670001029968,162,1792,1,77
GreenMarkTrust.sol,,262,sFuzz,true,false,0.92,1,2,0.5,28,37,0.7567567567567568,8,8,1,10,14,0.7142857142857143,11.575999975204468,1788.7360000610352,1800.3120000362396,144,1592,1,77
GUMARewards.sol,,572,sFuzz,true,false,0.52,4,12,0.3333333333333333,51,91,0.5604395604395604,30,44,0.6818181818181818,9,30,0.3,23.2020001411438,1778.1589999198914,1801.3610000610352,86,949,1,77
GAZ_ERC20.sol,,898,sFuzz,true,false,0.42857142857142855,2,2,1,14,26,0.5384615384615384,6,11,0.5454545454545454,5,22,0.22727272727272727,9.74400019645691,1790.5389997959137,1800.2829999923706,260,2861,1,77
FrogDAO.sol,,608,sFuzz,true,false,0.76,0,0,0,21,25,0.84,10,10,1,3,8,0.375,16.402999877929688,1784.1970000267029,1800.5999999046326,166,1828,1,77
Fomp.sol,,608,sFuzz,true,false,0.746031746031746,8,24,0.3333333333333333,65,92,0.7065217391304348,19,19,1,12,20,0.6,12.24399995803833,1788.3960001468658,1800.6400001049042,143,1577,1,77
FairStockEquity.sol,,119,sFuzz,true,false,0.8488372093023255,1,6,0.16666666666666666,60,120,0.5,27,28,0.9642857142857143,23,48,0.4791666666666667,17.4760000705719,1783.3410000801086,1800.8170001506805,92,1018,1,77
EdenCoin.sol,,67,sFuzz,true,false,0.9166666666666666,2,2,1,27,33,0.8181818181818182,8,8,1,8,14,0.5714285714285714,12.062000036239624,1788.2820000648499,1800.3440001010895,189,2088,1,77
Dynamic.sol,,436,sFuzz,true,false,0.75,1,2,0.5,3,4,0.75,2,2,1,0,0,0,7.4049999713897705,1793.3090000152588,1800.7139999866486,220,2420,1,77
Dipex.sol,,175,sFuzz,true,false,0.6666666666666666,9,22,0.4090909090909091,30,39,0.7692307692307693,8,8,1,8,12,0.6666666666666666,7.299000024795532,1793.8759999275208,1801.1749999523163,250,2750,1,77
DSP.sol,,719,sFuzz,true,false,0.6529411764705882,5,18,0.2777777777777778,97,154,0.6298701298701299,50,64,0.78125,27,60,0.45,26.91100001335144,1774.8209998607635,1801.731999874115,51,561,1,77
DJCoin.sol,,754,sFuzz,true,false,0.8,4,6,0.6666666666666666,70,91,0.7692307692307693,22,25,0.88,11,28,0.39285714285714285,10.819999933242798,1789.954999923706,1800.7749998569489,166,1826,1,77
CryptoSecureBankToken.sol,,716,sFuzz,true,false,0.7264957264957265,13,26,0.5,73,104,0.7019230769230769,30,33,0.9090909090909091,13,26,0.5,24.081000089645386,1776.460000038147,1800.5410001277924,73,805,1,77
Cover_ZapIn_General_V1.sol,,376,sFuzz,true,false,0.36585365853658536,2,16,0.125,39,129,0.3023255813953488,22,42,0.5238095238095238,8,44,0.18181818181818182,41.956000089645386,1760.0780000686646,1802.03400015831,36,401,1,77
CourtFarming_HTStake.sol,,767,sFuzz,true,false,0.7142857142857143,15,32,0.46875,75,109,0.6880733944954128,20,20,1,4,4,1,17.14199995994568,1783.0220000743866,1800.1640000343323,151,1667,1,77
Controller.sol,,209,sFuzz,true,false,0.8524590163934426,0,8,0,38,70,0.5428571428571428,19,19,1,30,34,0.8823529411764706,14.124000072479248,1786.2549998760223,1800.3789999485016,128,1414,1,77
BirdOracle.sol,,21,sFuzz,true,false,0.6829268292682927,18,30,0.6,44,66,0.6666666666666666,8,9,0.8888888888888888,0,2,0,8.734000205993652,1791.6429998874664,1800.37700009346,240,2642,1,77
BancorV2_ZapIn_General_V1_1.sol,,300,sFuzz,true,false,0.29411764705882354,1,18,0.05555555555555555,30,118,0.2542372881355932,19,39,0.48717948717948717,5,42,0.11904761904761904,35.257999897003174,1767.986999988556,1803.244999885559,43,480,1,77
BAE.sol,,390,sFuzz,true,false,0.38,0,6,0,9,50,0.18,5,8,0.625,8,36,0.2222222222222222,25.77300000190735,1776.8420000076294,1802.6150000095367,64,710,1,77
AntiBaseProtocol.sol,,864,sFuzz,true,false,0.7560975609756098,4,8,0.5,85,98,0.8673469387755102,39,42,0.9285714285714286,15,26,0.5769230769230769,36.454999923706055,1764.6530001163483,1801.1080000400543,103,1135,1,77
ANRXToken.sol,,431,sFuzz,true,false,0.8205128205128205,6,12,0.5,34,44,0.7727272727272727,11,11,1,7,16,0.4375,8.779000043869019,1791.630000114441,1800.40900015831,152,1680,1,77
vnxManager.sol,,518,DynaMOSA,true,false,0.6111111111111112,0,2,0,30,43,0.6976744186046512,19,20,0.95,11,26,0.4230769230769231,7.946000099182129,1792.6849999427795,1800.6310000419617,229,2526,1,76
ZAD.sol,,32,DynaMOSA,true,false,0.559322033898305,0,2,0,36,66,0.5454545454545454,20,29,0.6896551724137931,7,22,0.3181818181818182,9.421000003814697,1790.6999998092651,1800.1209998130798,230,2532,1,76
