SUBJECT,CONFIGURATION,BASELINE_RUN,STRATEGY_RUN,KILLED_MUTANTS,TOTAL_MUTANTS,MUTATION_SCORE
GreenMarkTrust,DynaMOSA_true,16,16,3,7,0.42857142857142855
RIT,DynaMOSA_true,16,16,3,10,0.3
Weedburn,DynaMOSA_true,12,12,4,10,0.4
UFragments,DynaMOSA_true,12,12,3,10,0.3
INS,DynaMOSA_true,12,12,2,7,0.2857142857142857
WOLF,DynaMOSA_true,12,12,3,6,0.5
OnXFinance,DynaMOSA_true,12,12,1,10,0.1
Controller,DynaMOSA_true,16,16,1,10,0.1
KPLAY,DynaMOSA_true,12,12,2,10,0.2
MarsStakingRewards,DynaMOSA_true,16,16,5,10,0.5
Vat,DynaMOSA_true,12,12,4,10,0.4
RainbowRAK,DynaMOSA_true,12,12,2,10,0.2
TokenDispatch,DynaMOSA_true,16,16,3,10,0.3
DMONDETHRewards,DynaMOSA_true,12,12,3,10,0.3
ZAD,DynaMOSA_true,12,12,2,10,0.2
DmmControllerV2,DynaMOSA_true,12,12,4,10,0.4
BirdOracle,DynaMOSA_true,16,16,1,1,1.0
SALESCONTRACT,DynaMOSA_true,16,16,2,10,0.2
Cryptoz,DynaMOSA_true,12,12,2,10,0.2
POWToken,DynaMOSA_true,12,12,0,10,0.0
GAZ_ERC20,DynaMOSA_true,16,16,1,10,0.1
Revive,DynaMOSA_true,12,12,5,10,0.5
MisesLegacyPool,DynaMOSA_true,12,12,1,3,0.3333333333333333
Fomp,DynaMOSA_true,16,16,6,10,0.6
Voting,DynaMOSA_true,16,16,10,10,1.0
TetherToken,DynaMOSA_true,16,16,6,10,0.6
FairStockEquity,DynaMOSA_true,16,16,1,10,0.1
AavePoolReward,DynaMOSA_true,12,12,0,3,0.0
NasiLiquidityPoolFactory,DynaMOSA_true,16,16,2,10,0.2
PlasmaswapPair,DynaMOSA_true,12,12,1,10,0.1
BAE,DynaMOSA_true,16,16,0,10,0.0
SpiritCoin,DynaMOSA_true,16,16,5,10,0.5
SLTDETHlpReward,DynaMOSA_true,12,12,2,10,0.2
WheaFarm,DynaMOSA_true,16,16,3,10,0.3
HungryHoody,DynaMOSA_true,16,16,1,2,0.5
QuickToken,DynaMOSA_true,16,16,6,10,0.6
SLTDStaking,DynaMOSA_true,16,16,3,10,0.3
ANRXToken,DynaMOSA_true,16,16,1,8,0.125
Rexona,DynaMOSA_true,16,16,5,6,0.8333333333333334
Cover_ZapIn_General_V1,DynaMOSA_true,16,16,5,10,0.5
YRX3,DynaMOSA_true,12,12,7,10,0.7
Reentrance,DynaMOSA_true,16,16,0,5,0.0
Dipex,DynaMOSA_true,16,16,4,6,0.6666666666666666
GardenContractV2,DynaMOSA_true,12,12,1,10,0.1
ThriftToken,DynaMOSA_true,12,12,1,10,0.1
BTCParamV2,DynaMOSA_true,12,12,2,7,0.2857142857142857
AntiBaseProtocol,DynaMOSA_true,16,16,5,10,0.5
LIBERAPAY,sFuzz_false,14,14,1,10,0.1
DatrixoEquityToken,sFuzz_false,10,10,7,10,0.7
LUP,sFuzz_false,10,10,1,5,0.2
WolfStakingRewards,sFuzz_false,10,10,4,10,0.4
BancorV2_ZapIn_General_V1_1,sFuzz_false,14,14,3,10,0.3
BlueICE,sFuzz_false,10,10,3,10,0.3
ETFXPool,sFuzz_false,10,10,2,10,0.2
EdenCoin,sFuzz_false,14,14,0,7,0.0
JGNRewards,sFuzz_false,14,14,1,3,0.3333333333333333
GFC,sFuzz_false,10,10,2,7,0.2857142857142857
GUMARewards,sFuzz_false,14,14,4,10,0.4
